"SCD"	"Transcripts"	"Gender"	"Age"	"Ethnicity"	"Education"	"Occupation"	"Languages"	"First.Lang"	"Partner.ID"	"Relationship"	"conv"	"ah"	"lah"	"lor"	"leh"	"hor"	"mah"	"meh"	"sia"
"3043-1"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"FINANCE"	"ENGLISH, CHINESE"	"ENGLISH"	"3043-2"	"FRIENDS"	"3043"	71	68	14	22	6	1	5	1

"3043-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"FINANCE"	"ENGLISH, CHINESE"	"ENGLISH"	"3043-1"	"FRIENDS"	"3043"	36	34	15	7	1	2	9	0

"3044-1"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"MARKETING"	"ENGLISH, CHINESE"	"ENGLISH"	"3044-2"	"FRIENDS"	"3044"	78	101	13	20	3	8	9	2

"3044-2"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"MARKETING"	"ENGLISH, CHINESE"	"ENGLISH"	"3044-1"	"FRIENDS"	"3044"	54	89	8	21	3	0	9	0

"3045-1"	"Same Room"	"F"	"3X"	"CHINESE"	"DIPLOMA"	"ACCOUNTANT"	"ENGLISH, CHINESE"	"ENGLISH"	"3045-2"	"FAMILY"	"3045"	73	55	14	12	7	3	5	1

"3045-2"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"ACCOUNTANT"	"ENGLISH, CHINESE"	"ENGLISH"	"3045-1"	"FAMILY"	"3045"	91	141	8	10	2	2	6	0

"3046-1"	"Same Room"	"M"	"3X"	"CHINESE"	"BACHELOR"	"ENGINEER"	"ENGLISH, CHINESE"	"ENGLISH"	"3046-2"	"FRIENDS"	"3046"	73	279	58	25	5	15	2	0

"3046-2"	"Same Room"	"M"	"3X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3046-1"	"FRIENDS"	"3046"	48	61	10	6	0	1	3	1

"3047-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3047-2"	"FRIENDS"	"3047"	31	8	2	1	0	1	0	0

"3047-2"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"EXECUTIVE"	"ENGLISH, CHINESE"	"ENGLISH"	"3047-1"	"FRIENDS"	"3047"	12	29	1	10	0	0	1	0

"3048-1"	"Same Room"	"M"	"3X"	"CHINESE"	"DIPLOMA"	"ENGINEER"	"ENGLISH, CHINESE"	"ENGLISH"	"3048-2"	"FRIENDS"	"3048"	181	41	54	8	2	1	0	4

"3048-2"	"Same Room"	"M"	"3X"	"CHINESE"	"DIPLOMA"	"UNEMPLOYED"	"ENGLISH, CHINESE"	"ENGLISH"	"3048-1"	"FRIENDS"	"3048"	44	29	2	1	0	0	0	0

"3049-1"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"ADMINISTRATION"	"ENGLISH, CHINESE, OTHER"	"ENGLISH"	"3049-2"	"FRIENDS"	"3049"	23	11	2	0	0	0	0	0

